127.0.0.1 - - [01/Dec/2024:00:02:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/upload/smartphone1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/upload/bycicle.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:54 +0900] "GET /myapp/term_jsp/html/my_interface.jsp HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:54 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:54 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:54 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:54 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:54 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/images/main_banner1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/bycicle.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/smartphone1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/index.jsp?refreshed=true HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/bycicle.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:30 +0900] "GET /myapp/term_jsp/upload/smartphone1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:31 +0900] "GET /myapp/term_jsp/html/my_interface.jsp HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:31 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:31 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:31 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:31 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:31 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:03:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/html/my_interface.jsp?refreshed=true HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/upload/item_info.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:04:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/main_banner1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/trade-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/images/sell-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/upload/smartphone1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/upload/bycicle.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/index.jsp?refreshed=true HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/upload/bycicle.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:22 +0900] "GET /myapp/term_jsp/upload/smartphone1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:24 +0900] "GET /myapp/term_jsp/html/item_info.jsp?product_id=71 HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:24 +0900] "GET /myapp/term_jsp/upload/bycicle.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:24 +0900] "GET /myapp/term_jsp/css/item_info.css HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:24 +0900] "GET /myapp/term_jsp/upload/smartphone1.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:05:24 +0900] "GET /myapp/term_jsp/html/item_info.jsp?product_id=71&refreshed=true HTTP/1.1" 200 8159
